,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
59,59,KBY15_IMG_7695-10089.png,0.0073027913,17.72157,60700.35,0.64705884,4817.2783,0.0036652677,0.9647737,0.92647356,0.9264843,0.0036647771
60,60,KBY15_IMG_12825-21546.png,1.2749982e-06,0.0,65535.992,0.007843138,0.0,nan,0.0,1.0,0.9999999,0.0
61,61,KBY15_IMG_19665-15903.png,0.0068929256,24.59608,58423.98,4.0196085,7083.4043,0.0034603374,0.85953134,0.89186865,0.8918544,0.0034583819
62,62,KBY15_IMG_10431-4617.png,3.4481827e-11,0.0,65245.992,0.007843138,290.0,0.0,0.0,0.99557495,0.99557483,0.0
63,63,KBY15_IMG_11286-4617.png,0.0070080436,28.866669,57326.715,0.28627452,8180.134,0.003516466,0.99018025,0.8751255,0.8751767,0.003516343
64,64,KBY15_IMG_16416-4446.png,0.0071587893,19.635296,60069.99,0.011764707,5446.365,0.0035922602,0.9994012,0.9168702,0.9168948,0.0035922525
65,65,KBY15_IMG_10602-3078.png,0.0074711367,26.76863,58396.89,2.1098042,7110.2314,0.0037506837,0.9269419,0.8914587,0.8914743,0.0037495752
66,66,KBY15_IMG_27873-13167.png,0.0067992443,4.8509808,64113.934,0.06666667,1417.1492,0.0034113785,0.9864434,0.9783744,0.978375,0.0034112188
67,67,KBY15_IMG_28557-22914.png,7.72727e-08,0.0,65535.87,0.12941179,0.0,nan,0.0,1.0,0.99999803,0.0
68,68,KBY15_IMG_12825-21204.png,0.001799821,7.4509807,57263.76,0.23921572,8264.549,0.0009007472,0.9688934,0.8738782,0.8738894,0.0009007211
69,69,KBY15_IMG_7182-16587.png,0.007062985,27.99608,57636.445,0.55294126,7871.0044,0.003544256,0.9806319,0.8798457,0.87988955,0.0035440081
70,70,KBY15_IMG_30267-12825.png,0.006769589,10.980393,62302.945,0.054901965,3222.0198,0.0033963479,0.99502486,0.9508276,0.95083505,0.0033962901
71,71,KBY15_IMG_10944-4959.png,0.0069466466,14.266668,61442.77,0.23137258,4078.7336,0.003485626,0.9840411,0.9377497,0.93775994,0.0034854289
72,72,KBY15_IMG_29241-23769.png,0.007459966,24.392159,59020.91,0.09019609,6490.608,0.0037439999,0.99631584,0.90092415,0.9009598,0.003743948
73,73,KBY15_IMG_15219-2052.png,0.0075713233,8.69804,63247.07,0.9294119,2279.302,0.003801591,0.9034623,0.9652155,0.96520644,0.0038000473
74,74,KBY15_IMG_6840-16416.png,0.0073808962,12.47451,62168.258,0.7411765,3354.5256,0.003704933,0.9439169,0.94880366,0.94880265,0.0037041178
75,75,KBY15_IMG_27873-12996.png,0.0071999985,24.52157,58748.97,1.027451,6761.4785,0.003613553,0.9597851,0.8967878,0.8968124,0.0036130059
76,76,KBY15_IMG_28728-11970.png,0.007068917,13.380393,61763.684,0.3176471,3758.6196,0.003547294,0.97681075,0.942636,0.94264317,0.0035469953
77,77,KBY15_IMG_29241-22914.png,0.0065832664,27.64706,57164.453,1.5450982,8342.354,0.0033031132,0.9470715,0.8726491,0.8726822,0.0033025036
78,78,KBY15_IMG_27702-11457.png,0.007162303,0.8666668,65294.86,0.14117649,240.13335,0.0035961275,0.85992223,0.9963358,0.9963337,0.0035940222
79,79,KBY15_IMG_15732-2907.png,0.0070892544,23.77647,58852.023,4.9725494,6655.2236,0.0035598848,0.82703584,0.8984048,0.8983735,0.0035572364
80,80,KBY15_IMG_2565-17613.png,0.007036936,13.960785,61582.1,2.8980393,3937.0396,0.0035334812,0.8280996,0.9399101,0.9398813,0.0035308911
81,81,KBY15_IMG_23769-19323.png,0.0074809,11.14902,62566.49,0.5137255,2957.851,0.0037551431,0.9559516,0.9548587,0.95485896,0.0037544933
82,82,KBY15_IMG_14877-2565.png,0.007278082,66.07451,47444.953,2.047059,18022.926,0.0036527452,0.9699499,0.7247058,0.72496074,0.003652332
83,83,KBY15_IMG_15561-2565.png,0.00679545,15.333334,61038.51,0.4901961,4481.667,0.0034096802,0.9690211,0.93159866,0.9316077,0.0034093086
84,84,KBY15_IMG_19836-22743.png,0.006620632,6.74902,63503.965,0.035294123,2025.2511,0.003321368,0.9947977,0.9690939,0.9690966,0.0033213103
